# Accumulated Berry phases using Wilson Loop method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
7.203780	412.746197	0.000000	-3.601890	-3.601890	0.000000
7.223902	413.899119	0.000000	-3.611951	-3.611951	0.000000
7.244025	415.052042	0.000000	-3.622012	-3.622012	0.000000
7.264147	416.204964	0.000000	-3.632073	-3.632073	0.000000
7.284269	417.357886	0.000000	-3.642135	-3.642135	0.000000
7.304392	418.510809	0.000000	-3.652196	-3.652196	0.000000
7.324514	419.663731	0.000000	-3.662257	-3.662257	0.000000
7.344636	420.816653	0.000000	-3.672318	-3.672318	0.000000
7.364758	421.969576	0.000000	-3.682379	-3.682379	0.000000
7.384881	423.122498	0.000000	-3.692440	-3.692440	0.000000
7.405003	424.275420	0.000000	-3.702502	-3.702502	0.000000
7.425125	425.428343	0.000000	-3.712563	-3.712563	0.000000
7.445248	426.581265	0.000000	-3.722624	-3.722624	0.000000
7.465370	427.734187	0.000000	-3.732685	-3.732685	0.000000
7.485492	428.887110	0.000000	-3.742746	-3.742746	0.000000
7.505614	430.040032	0.000000	-3.752807	-3.752807	0.000000
7.525737	431.192954	0.000000	-3.762868	-3.762868	0.000000
7.545859	432.345877	0.000000	-3.772930	-3.772930	0.000000
7.565981	433.498799	0.000000	-3.782991	-3.782991	0.000000
7.586104	434.651721	0.000000	-3.793052	-3.793052	0.000000
7.606226	435.804644	0.000000	-3.803113	-3.803113	0.000000
7.626348	436.957566	0.000000	-3.813174	-3.813174	0.000000
7.646471	438.110488	0.000000	-3.823235	-3.823235	0.000000
7.666593	439.263411	0.000000	-3.833296	-3.833296	0.000000
7.686715	440.416333	0.000000	-3.843358	-3.843358	0.000000
7.706837	441.569255	0.000000	-3.853419	-3.853419	0.000000
7.726960	442.722178	0.000000	-3.863480	-3.863480	0.000000
7.747082	443.875100	0.000000	-3.873541	-3.873541	0.000000
7.767204	445.028022	0.000000	-3.883602	-3.883602	0.000000
7.787327	446.180945	0.000000	-3.893663	-3.893663	0.000000
7.807449	447.333867	0.000000	-3.903724	-3.903724	0.000000
7.827571	448.486789	0.000000	-3.913786	-3.913786	0.000000
7.847693	449.639712	0.000000	-3.923847	-3.923847	0.000000
7.867816	450.792634	0.000000	-3.933908	-3.933908	0.000000
7.887938	451.945556	0.000000	-3.943969	-3.943969	0.000000
7.908060	453.098479	0.000000	-3.954030	-3.954030	0.000000
7.928183	454.251401	0.000000	-3.964091	-3.964091	0.000000
7.948305	455.404323	0.000000	-3.974152	-3.974152	0.000000
7.968427	456.557246	0.000000	-3.984214	-3.984214	0.000000
7.988549	457.710168	0.000000	-3.994275	-3.994275	0.000000
8.008672	458.863090	0.000000	-4.004336	-4.004336	0.000000
8.028794	460.016013	0.000000	-4.014397	-4.014397	0.000000
8.048916	461.168935	0.000000	-4.024458	-4.024458	0.000000
8.069039	462.321857	0.000000	-4.034519	-4.034519	0.000000
8.089161	463.474780	0.000000	-4.044580	-4.044580	0.000000
8.109283	464.627702	0.000000	-4.054642	-4.054642	0.000000
8.129405	465.780624	0.000000	-4.064703	-4.064703	0.000000
8.149528	466.933547	0.000000	-4.074764	-4.074764	0.000000
8.169650	468.086469	0.000000	-4.084825	-4.084825	0.000000
8.189772	469.239392	0.000000	-4.094886	-4.094886	0.000000
8.209895	470.392314	0.000000	-4.104947	-4.104947	0.000000
8.230017	471.545236	0.000000	-4.115008	-4.115008	0.000000
8.250139	472.698159	0.000000	-4.125070	-4.125070	0.000000
8.270262	473.851081	0.000000	-4.135131	-4.135131	0.000000
8.290384	475.004003	0.000000	-4.145192	-4.145192	0.000000
8.310506	476.156926	0.000000	-4.155253	-4.155253	0.000000
8.330628	477.309848	0.000000	-4.165314	-4.165314	0.000000
8.350751	478.462770	0.000000	-4.175375	-4.175375	0.000000
8.370873	479.615693	0.000000	-4.185436	-4.185436	0.000000
8.390995	480.768615	0.000000	-4.195498	-4.195498	0.000000
8.411118	481.921537	0.000000	-4.205559	-4.205559	0.000000
8.431240	483.074460	0.000000	-4.215620	-4.215620	0.000000
8.451362	484.227382	0.000000	-4.225681	-4.225681	0.000000
8.471484	485.380304	0.000000	-4.235742	-4.235742	0.000000
8.491607	486.533227	0.000000	-4.245803	-4.245803	0.000000
8.511729	487.686149	0.000000	-4.255865	-4.255865	0.000000
8.531851	488.839071	0.000000	-4.265926	-4.265926	0.000000
8.551974	489.991994	0.000000	-4.275987	-4.275987	0.000000
8.572096	491.144916	0.000000	-4.286048	-4.286048	0.000000
8.592218	492.297838	0.000000	-4.296109	-4.296109	0.000000
8.612340	493.450761	0.000000	-4.306170	-4.306170	0.000000
